cluster,n_records,centroid_lat,centroid_lon,n_species
0,18194,-64.25588512504122,-61.7843176804441,855
1,4051,-76.48689864107628,164.50858025919527,588
4,2957,-60.69857096313832,-45.53493235373689,545
9,1343,-66.30557187565152,110.5204789054356,272
11,1767,-68.70756456083758,77.91113785795133,271
14,743,-71.232739730821,-68.42125639300134,226
15,806,-69.25929617617867,39.56200042679901,219
27,302,-70.7552876821192,11.696861721854305,173
2,948,-72.44728515506328,170.03030132700422,166
29,335,-66.2793179402985,100.35157259701492,166
5,645,-61.224908837209306,-55.09133818914729,162
23,160,-67.66361251875,45.926802268749995,129
7,151,-69.75021026490066,-75.26070801324502,91
13,379,-67.58289100791556,61.842340287598944,78
38,147,-78.03176244897959,-155.16037938775509,77
40,252,-76.89023146825396,-145.3267934126984,71
41,247,-70.28681647773278,-63.06870943319838,62
17,162,-73.2710998765432,-13.649073580246913,57
28,72,-70.86268111111112,68.00759555555555,48
18,58,-71.49236086206896,-3.28480275862069,47
50,45,-72.06062977777778,163.19170155555554,45
10,79,-67.7912135949367,66.76845415189874,43
6,118,-66.5275909661017,92.9916133220339,39
44,39,-83.97995,173.84914,39
25,42,-70.77938161904761,167.0272599047619,36
42,82,-75.28015865853658,-72.06411987804879,35
16,82,-74.57210024390244,-11.175130243902439,35
22,71,-68.37079695774648,41.962127056338026,34
47,60,-75.68181816666667,-69.4389205,27
33,32,-67.95309031250001,44.413095625000004,27
30,25,-71.2939036,13.500854799999999,24
32,38,-72.28337631578948,-97.79472184210526,24
37,34,-79.8621188235294,159.15732588235295,23
43,42,-71.54124166666666,8.905927142857141,23
24,27,-66.83655244444445,50.516324222222224,23
3,35,-67.0175201142857,142.6460686285714,23
45,27,-73.50682703703703,-94.21622444444445,22
39,22,-66.80728818181818,89.17613727272727,21
8,31,-71.8840929032258,5.132448709677419,20
34,29,-72.12333413793102,23.687545862068966,17
49,20,-74.9970605,-12.315344,17
46,21,-72.3585238095238,-95.72361952380952,16
52,17,-67.66081176470588,-65.30162411764707,16
31,17,-66.91255294117647,57.37574117647059,15
36,24,-69.69233833333334,-71.32182958333333,15
20,42,-66.85283190476191,163.25835857142857,15
19,15,-82.49386466666667,-51.182724666666665,14
35,17,-69.73730235294117,74.34301235294117,14
21,15,-69.5408548,-68.483174,14
12,42,-66.70396773809523,140.35425771428572,13
48,12,-71.66426750000001,168.48936,12
53,15,-79.03552599999999,-28.042484,11
51,15,-85.855792,-150.91917933333335,11
54,14,-84.59706928571428,-176.1460285714286,7
26,32,-76.15008300000001,168.3682596875,5
